"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 01 21:28:21 IST 2024","Tue Oct 01 21:28:45 IST 2024","24390","testcases","test_017_01_screenshots","Test_017_screenshots","","","test_017_01_ss",""
"passed","Tue Oct 01 21:28:45 IST 2024","Tue Oct 01 21:28:45 IST 2024","0","testcases","test_017_01_screenshots","Test_017_screenshots","","","test_017_addition",""
